date,content,counts
2019-03-12,"My impression is that we are now between these two phases of the cycle. Between a phasewhere strong regulation and supervision are encouraged, and one where there are strong callsfor fewer restrictions. This could be risky, and I would strongly advise against weakening ruleswe have already agreed on. Besides this general point, there are several issues which should and could be dealt with, ordiscussed at the BCBS.",67
2010-05-17,"Lorenzo Bini Smaghi: Lessons of the crisis – ethics, markets, democracySpeech by Mr Lorenzo Bini Smaghi, Member of the Executive Board of the European CentralBank, at Unione Cristiana Imprenditori Dirigenti (UCID), Milan, 13 May 2010. ***The events of recent weeks, particularly the Greek crisis, show that the period of economicand financial instability which began almost three years ago is not over yet. The first phase ofthat instability, starting in August 2007, occurred mainly on the financial markets, rangingfrom the money markets to the stock markets.",85
2011-02-14,"Monetary union can function effectively in a Europe of sovereign states with an appropriateeconomic union. And creating an appropriate economic union is where the reform effortsneed to be directed. For that, we have to do in Europe what Alexis de Tocqueville so admired in 19th centuryAmerica, whose greatness did not lie “in being more enlightened than any other nation, butrather in the ability to repair her faults.”BIS central bankers’ speeches5When repairing the faults in our governance framework, we must not let the indications ofeconomic recovery distract ourselves from the urgency for action.",92
2019-11-20,"Philip R Lane: Q&A with FortuneQ&A with Mr Philip R Lane, Member of the Executive Board of the European Central Bank, andFortune, conducted by Ms Maithreyi Seetharaman at Fortune Global Forum, Paris, 18 November2019. * * *The following is a transcript of an on stage question and answer. This is almost a time of new beginnings in Europe in many, many ways – especially as of 1November – but it’s new beginnings for you as well.",76
2000-11-28,"In all of these areas, closer cooperation in Europe does not mean the forced acceptance of auniform model, imposed by an ever-more powerful and increasingly remote Brussels bureaucracy. Rather, such exchanges of views help to identify best practices and provide room for the free play ofcompeting concepts and policy designs - which is to the benefit of all involved. Finally, “deeper integration” within the sphere of European economic policymaking could be seen asno more than the long-overdue, political response to market developments towards globalisationwhich, in any case, cannot be avoided.",90
2014-06-24,"This view is supported by the findings of a number of MaRsstudies (see for example Angelini, Neri and Panetta (2012),27 Beau, Clerc and Mojon(2012)28 and Lambertini, Mendicino and Punzi (2013).29First, it is not clear what would be the appropriate magnitude of changes in the policyrate to curb excessive developments in asset prices and credit. While monetary policy26See, for example, Borio, C., “The financial cycle and macroeconomics: What have we learnt?”, Working PaperSeries, No 395, Bank for International Settlements, 2012; Aikman, D., Haldane, A. and Nelson, B., “Curbingthe credit cycle”, Economic Journal, forthcoming; and Claessens, S., Kose, M.A.",97
2008-09-09,"European Central Bank: Press conference – introductory statementIntroductory statement by Mr Jean-Claude Trichet, President of the European Central Bankand Mr Lucas Papademos, Vice-President of the European Central Bank, Frankfurt am Main,4 September 2008. ***Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to ourpress conference. We will now report on the outcome of today’s meeting of the GoverningCouncil, which was also attended by Commissioner Almunia. On the basis of our regular economic and monetary analyses, at today’s meeting we decidedto leave the key ECB interest rates unchanged.",91
2017-01-19,"The implementation of structural reforms needs to besubstantially stepped up to increase resilience, reduce structural unemployment and boostinvestment, productivity and potential output growth in the euro area. Structural reforms arenecessary in all euro area countries. In particular, reforms are needed to improve the businessenvironment, including the provision of an adequate public infrastructure. In addition, theenhancement of current investment initiatives, progress on the capital markets union andreforms that will improve the resolution of non-performing loans, are a priority. Fiscal policiesshould also support the economic recovery, while remaining in compliance with the fiscal rules ofthe European Union.",95
2014-06-02,"Increasing financial integration encouraged capital to flow from core to periphery,but this was not accompanied by increasing integration of product and services markets toensure that this capital was allocated efficiently. In fact, as competitive pressures remainedweak, in particular in the non-tradable/services sector, certain industries were able tomaintain excessive rents and distort price signals. This meant that the low marginal product4BIS central bankers’ speechesof capital in these industries was offset by rising profit margins, leading capital to becomemisallocated. The fiscal and financial frameworks also interacted negatively with one another.",88
2013-04-12,"Only companies with good creditratings – which are typically larger corporates – benefit from lower risk weights. Importantly, for banks using the more sophisticated approaches for credit risk, namely theadvanced internal ratings-based (IRB) approaches, the current regulatory framework furtherprovides for preferential treatment of SME loans vis-à-vis large corporate exposures. The Capital Requirements Regulation and Directive, or CRD IV, entails a significant increasein the quality and quantity of capital.",68
2009-09-18,"Fifth, in any case, fiscal consolidation cannot be limited to the correction of excessivedeficits. The pace of consolidation needs to be maintained and stepped up in good timesuntil the medium-term objectives are achieved. The crisis has clearly demonstrated that countries that failed to build up safety marginsduring good times had little or no capacity to counter the economic downturn. In this respect,medium-term objectives must be sufficiently ambitious in order to create room for manoeuvrein fiscal terms before the next economic downturn and to prepare public finances for futureexpenditure associated with population ageing.",92
2016-05-06,"Macroprudential stress tests should provide, in association with theprojected scenarios, indicators to measure and predict the overall level of systemic risk, theposition of the economy in the financial cycle and consequently the adequate stance ofmacroprudential policies. Differently from supervisory exercises where results are expressed in terms of capitalshortfalls or no additional capital requirements by bank, macroprudential stress tests mightshow that capital positions are either insufficient to preserve financial stability of the systemor, in different circumstances, are excessive for the system as a whole requiring easing orrelease of macroprudential measures.",89
2011-10-19,"Something that also plays a role is the fact that Europe’s capitals– unlike us – may not have at all times a complete and immediate picture of the crisissituation. From this institution, we have the complete picture, worldwide and in Europe. It issimply our duty to pass on this picture to the leaders of our democracies. Sometimes theyfollow us, sometimes they don’t. The responsibility lies with the governments. The mostimportant thing for the ECB is to ensure medium and long-term stability, and that is why itcannot use monetary policy to put right the failings of government policies.",97
2007-11-19,"Necessary monetary policy decisions may therefore be delayed if liquidity policyis seen as an adequate palliative. Alternatively, monetary policy may be distracted from itsmedium-term objective of price stability if it is seen as a mechanism to support marketfunctioning. In either case, the credibility of monetary policy – which is crucial for stabilisinglonger-term inflation expectations and thus for maintaining price stability – could be put atrisk. Respecting these simple principles helps to focus monetary policy on its primary objective ofprice stability, and hence bolsters the credibility of the central bank.",89
2020-09-15,"In Greece, national and EU policies have together played a crucial role in absorbing theshock, but further efforts will be neededGreece responded rapidly and effectively in containing the pandemic, but the containmentmeasures are inevitably taking a toll on the Greek economy. While this crisis is not country-specific, in Greece it has added to existing fragilities. Greece’sfinancial sector remains heavily burdened by non-performing loans (NPLs) and is thusconstrained in its ability to support the recovery.",74
2011-11-17,"For the euro area I will say clearly: we needfor cross-border banking institutions a European Resolution Authority, including or combinedwith a Resolution Fund, as well as a European Supervisor. This requirement is not only anecessity stemming from the high degree of interconnectedness among euro area banks, butBIS central bankers’ speeches5constitutes also a major lesson of the present crisis. Indeed, some of the major imbalancesthat are besetting the euro area stemmed from uncontrolled behaviour of some bankingsectors that eventually contaminated the sovereign.",81
2018-07-26,"While uncertainties, notably related to the global trade environment, remain prominent, theinformation available since our last monetary policy meeting indicates that the euro areaeconomy is proceeding along a solid and broad-based growth path. The underlying strength ofthe economy confirms our confidence that the sustained convergence of inflation to our aim willcontinue in the period ahead and will be maintained even after a gradual winding-down of our netasset purchases. Nevertheless, significant monetary policy stimulus is still needed to support thefurther build-up of domestic price pressures and headline inflation developments over themedium term.",91
2015-10-13,"We are back at USD 50 a barrel here. So weare starting to ask the question whether inflation expectations are being pitched toolow, because people are fixated on a continuation of a very low oil price. Inflation expectations are well on course in the long term, so the whole discussion is about howfast they will come back to 2%, how fast inflation will come back to 2%? The faster, the better,obviously, so if the oil price were to stabilise, if that gave a sense of stability and security toeconomic actors, that would certainly be good news in that picture.",99
1999-06-11,"Turning to the internal structure of the bond markets of the euro area, I should like to make an initialobservation related to the recent marked increase in euro-denominated corporate bond issuance,which was accompanied by an increase in the average size of issues. This tendency is likely tocontinue in the future, in particular to the extent that bonds may be used by firms to finance increasingmergers and acquisitions activity in the euro area. The underlying reasons for increased bond issuanceby euro area firms are clear, both on the supply and on the demand side.",93
2011-06-16,"This iswhy central banks manage their risks, albeit not necessarily in the same way as privatefinancial institutions because of the fundamental differences which exist between the two. Hopefully these differences are now better understood, and misperceptions about the role ofcentral banks corrected. Thank you for your attention. 5See, for instance, H.-W. Sinn, 1 June 2011, “The ECB stealth bailout”, VOX. 6See, for instance, Buiter, W., E. Rahbari and J. Michels, 9 June 2011, “TARGETing the wrong villain:TARGET2 and intra-Eurosystem imbalances in credit flows”, Citigroup Global Economics View; K. Whelan,7 June 2011, “Professor Sinn Misses the Target.”BIS central bankers’ speeches7",99
1999-05-10,"TheGoverning Council also noted that the annual rate of growth of total credit was broadly stableat 7.5% in March 1999. In line with the assessment it had made on the occasion of its previousmeetings, the Governing Council took the view that recent monetary trends should not be seenas a warning signal with regard to the future evolution of inflation. As we have emphasised inthe past, the monetary data in early 1999 may be affected by the special circumstances relatedto the changeover to Stage Three of EMU.",86
2013-01-24,"The European Stability Mechanism became active and provides a solid safety net if needed. The new rules for governing the euro area economy were applied to strengthen oversight ofbudgets and to monitor emerging imbalances more effectively. Member States agreed to put debt brakes in their national constitutions. Most importantly, Europe’s leaders recognised that monetary union needs to becomplemented by a financial union, a fiscal union, a genuine economic union and eventuallya deeper political union. Discussions are underway with clear timelines in the months ahead. The most urgent project – financial union – is now taking tangible shape.",97
2004-04-30,"Also for this second difference with the Fed concept, there are, in my eyes, both solid theoreticalreasons and practical considerations associated with the transition to the Euro. All taken into account, it seems to me that what is uniting us, our similarities, are more important thanour differences. And we have solid explanations for our differences. I understand, in particular, thattrends in money demand have not been as stable in the US as they have been in the Euro area. This8BIS Review 24/2004may partly explains the differences in our approach.",89
2008-10-02,"As other major central banks in the world the ECB has reacted promptly and consistentlyduring the various phases of the market turbulences to ensure the smooth functioning of themoney market. In order to fully understand this role of the ECB let me start by explaining theso-called separation principle. The ECB makes a clear separation between, on the one hand,the determination of the monetary policy stance and, on the other hand, its implementationusing liquidity operations. The monetary policy stance is determined so as to serve theprimary objective of the ECB, namely the maintenance of price stability.",95
2014-07-29,"This dialoguewas jointly organised by the Bank of Thailand, which currently holds the chair of theExecutives’ Meeting of East Asia-Pacific Central Banks, and the ECB. I would like to use thisopportunity to thank Governor Prasarn for hosting this event in Bangkok. This is the seventh time that the Eurosystem and East Asia-Pacific central banks have met. Itis an important and useful platform for exchanging views on issues of mutual interest to thecentral banking community. The crisis has subsided since we last met in 2011. However the euro area and the globaleconomy still face challenges.",94
2014-11-27,"To giveyou an idea: between 2008 and 2010 only one bank had losses exceeding the 8% threshold,and the average for all other banks was slightly less than 3%. If we look further back to theNordic financial crisis in the 90s, none of the banks affected faced losses close to 8% of itstotal liabilities including own funds. According to the new rules, only insured deposits are totally excluded from the bail-in tool.",71
2009-04-03,"Countries subject to the excessive deficit procedure need tocomply strictly with the ECOFIN Council recommendations for correcting their deficits. Manycountries will need to specify further credible consolidation measures for 2010 and beyond. Full and consistent implementation of the EU's legal provisions for sound fiscal policies is aprerequisite for the maintenance of their credibility as one of the pillars of the institutionalframework of Economic and Monetary Union. Turning to structural reforms, the Governing Council welcomes the commitment of thespring European Council to make full use of the renewed Lisbon strategy for growth and jobsin the current situation.",96
2021-11-16,"Under normal conditions, the informal discussions at these annual conferences provide a usefulopportunity to increase external awareness of the monetary policy research conducted at theECB and across the Eurosystem. Since such informal interactions cannot be reproduced inwebinar format, I will take this opportunity to highlight the extraordinary research efforts of theECB and Eurosystem staff in supporting our recent monetary policy strategy review. In particular,eighteen ECB occasional papers were released on 21 September.",72
2008-05-06,"The adoption ofthe Payment Services Directive in 2007 was a major step in this regard. Now it just needs tobe transposed into national law. The impact of SEPA12Schmiedel (2007), “The economic impact of the Single Euro Payments Area”, ECB Occasional Paper Series,August. BIS Review 55/2008The impact of SEPA is expected to be substantial. A recent study conducted on behalf of theEuropean Commission 2 mentions that banks and their customers are expected to benefitfrom SEPA. It is calculated that these benefits could reach €123 billion (cumulative over sixyears).",87
2009-02-18,"The present crisis does not just offer us anopportunity to rebalance, it provides an obligation to rebalance these three intertwineddomains of the global economy. These are the key challenges we must not fail to address,no matter how difficult the related work agenda. The root causes of the crisisLet me outline where I see these challenges more specifically, starting from the root cause ofthe crisis. Clearly, the root cause of the crisis was a massive underestimation of risk in the financialsectors of virtually all advanced economies. Risks were blurred owing to financial innovationthat had produced highly intransparent financial products.",98
2014-09-03,"It is likely that the ongoing deleveraging of the global bankingsector will stimulate the development of non-bank financial intermediation in Europe. As asign of things to come, the decline in bank credit is already to some extent compensated forby an increased issuance of corporate bonds. And the recent initiatives to create an activemarket for high-quality securitisation 18 will help further in this direction. ConclusionLet me conclude. The global financial crisis was, to a large extent, driven by an oversized and overleveragedfinancial sector whose risk-creating capacity was left unchecked by regulators andsupervisors.",91
2014-02-27,"Yves Mersch: China – progressing towards financial market liberalisationand currency internationalisationSpeech by Mr Yves Mersch, Member of the Executive Board of the European Central Bank,at the Renminbi Forum Luxembourg, Luxembourg, 26 February 2014. ***Ladies and Gentlemen,It is a pleasure to be the keynote speaker at the first-ever Luxembourg Renminbi Forum. Iwould like to thank Luxembourg for Finance for this opportunity to say a few words on therecent, rapid emergence of the renminbi as an international currency. Its new-found status isthe result of China’s economic performance and part of a wider ongoing reform process inthe country.",95
2014-07-18,"Hence, we have built in strong incentives for banks to expand theirlending beyond original plans – both banks with a recent record of positive lending and thosethat have been deleveraging. Overall, the measures adopted last month have already provided additional monetary policyaccommodation. Even though substantial easing measures had already been priced in bymarkets before the Governing Council’s June meeting, money market rates and bond yieldsdeclined further after the announcement of our decisions. Expectations with respect to shortterm money market rates have come down some basis points from their already very lowlevels.",91
2002-01-25,"The strong short-term dynamics of M3over the autumn of 2001 seem mainly to be related to a particularly marked preference for liquidholdings by euro area investors in the context of the worldwide economic uncertainty following theterrorist attacks of 11 September. To the extent that these developments are of a temporary nature,monetary developments can be considered not to indicate future inflationary pressures at present. However, if not reversed, the recent building up of liquidity could call for a re-assessment of monetarydevelopments in the coming months, especially at a time when the euro area economy recovers.",94
2013-02-28,"I will give you a central banker’s view on the role of monetary policy inmanaging the current crisis, but I will also extend my discourse to cover the broaderinstitutional landscape, including some thoughts on what policy-makers in other fields thanmonetary policy could contribute to improve the euro area’s resilience. Today, I will focus onthree points:First, the European Central Bank – together with the national central banks of theEurosystem – has acted forcefully within its mandate, in order to counteract any risks to pricestability stemming from the crisis.",87
2001-09-18,"The seven euro banknotes differ in size and colour,and the value of the banknote is printed in large, bold numbers. This will make it easier for all of us torecognise the banknotes when they enter into circulation on 1 January 2002. Ladies and gentlemen, this will be a watershed in Europe’s history; it will be a unique event thatrequires our fullest support. It is crucial that we, the European Central Bank and the twelve national central banks of the euro area,do our utmost to ensure that euro banknotes and coins are well received by the public.",96
2010-06-03,"BIS Review 76/20101The amounts involved are indeed sizeable, but it appears that the markets are unclearabout the way in which they might be mobilised…In my view, the concrete implementation of the mechanism is taking place properly, and themost remarkable aspect is the speed with which parliamentary decisions have been taken inthe countries in question. If, for some reason, Greece does not honour its commitments, might there be a needfor a “plan B”? That is not part of our working assumption. Greece must and will honour its commitments.",87
2002-09-25,"Demand also rose during this period for the EURO 100 banknotes, by no less than 60%. This shows that there was a rapid increase in the hoarding of banknotes in the first months of the eurocash era. Evidently, the denominational structure of the banknotes in circulation is still developing inresponse to the banknote requirements of cash users. Related to the substantial rise in large banknotes, from March onwards, currency in circulationincreased by around EUR 10 billion each month.",78
2002-09-25,"The cash changeover outside the euro area started as early as 1 December2001, in order to facilitate the conversion to the euro of legacy currency banknotes held by non-euroarea residents from 1 January onwards. Non-euro area central banks and international banks abroadreceived euro banknotes to enable them to meet the initial cash needs of the public and business. Banknotes worth almost EUR 5 billion were shipped outside the euro area in December 2001, morethan half of them destined for eastern and central Europe, and Turkey.",85
2007-12-28,"At the sametime, efficient adjustment can be best facilitated by focusing on price stability and continuingto solidly anchor inflation expectations in the face of considerable relative price shocks. Developments in the real estate sectorLet me conclude with some remarks on residential property prices. As with other assetprices, residential property prices are closely monitored by the ECB in terms of our economicanalysis. Within this context, while we take the euro area real estate sector into account inassessing risks to price stability, we certainly do not target house prices, or for that matter,any other asset prices.",94
2007-11-21,"3.1Some stylised factsLet me consider the experiences of countries that are already in the euro area. This mightteach us something useful about the challenges that the new Member States may face inconverging towards the euro adoption. In 1995, i.e. a few years before the launch of theeuro, there were a handful of countries with a real GDP per capita significantly below theeuro area average: Greece, at 65%, Spain, at 79%, Portugal, at 65%, and Ireland, at 89%.",77
